"Index","Original Thai","Source group","Flagged by","Claude score","agy score","Issue","Suggestion","Original locations"
"TH-159","วางแผนความแตกต่างด้านชนิด พื้นที่ มาตราส่วน ปัจจัยแวดล้อม และการวัดก่อนเลือกแบบจำลองรวม","เว็บไซต์","Claude","3","5","""วางแผนความแตกต่าง"" ใช้กริยาไม่เข้าบริบท ไม่ได้วางแผนความแตกต่างแต่ต้องพิจารณา","ใช้ ""พิจารณาความแตกต่างด้าน...ก่อนเลือกแบบจำลองรวม""","app/guide-data.ts:517:275"
"TH-163","โปรแกรมเข้ารหัสเชิงคุณภาพ","เว็บไซต์","agy","5","3","คำว่า เข้ารหัส หมายถึง encryption ไม่ตรงกับบริบทการลงรหัสเชิงคุณภาพ (qualitative coding)","โปรแกรมลงรหัสข้อมูลเชิงคุณภาพ","app/guide-data.ts:518:229"
"TH-171","เวทีแนวหน้าของแต่ละสาขา","เว็บไซต์","Claude","3","5","""เวทีแนวหน้า"" ไม่ใช่สำนวนที่คนไทยใช้เรียกวารสารหรืองานประชุมชั้นนำ","ใช้ ""วารสารหรือเวทีชั้นนำของแต่ละสาขา""","app/guide-data.ts:520:85"
"TH-173","การตัดสินใจเรื่องขอบเขตและคำศัพท์ที่ชัด","เว็บไซต์","Claude","3","5","โครงสร้างกำกวมว่า ""ชัด"" ขยายทั้งขอบเขตและคำศัพท์ หรือแค่คำศัพท์","ใช้ ""การตัดสินใจเรื่องขอบเขตและคำศัพท์อย่างชัดเจน""","app/guide-data.ts:520:169"
"TH-335","ระบบสมาชิก · บางโครงการอาจมีสิทธิ์ให้ใช้","เว็บไซต์","Claude","3","5","ระบบสมาชิก ฟังดูเหมือนบรรยายฟีเจอร์ ไม่ใช่ป้ายราคาแบบข้ออื่นในชุดเดียวกัน","เปลี่ยนเป็น แบบสมัครสมาชิก บางโครงการอาจมีสิทธิ์ให้ใช้","app/guide-data.ts:709:46"
"TH-384","การอ้างอิง | ประเทศ/บริบท | เป้าหมาย | ประเภทงานวิจัย | กลุ่มตัวอย่าง/ข้อมูล | การแทรกแซงหรือปรากฏการณ์ | ผลลัพธ์/ข้อค้นพบ | บริบท | ข้อจำกัด | ผลประเมิน | หมายเหตุผู้ทบทวน","เว็บไซต์","agy","5","3","มีหัวข้อ บริบท ซ้ำซ้อนกับ ประเทศ/บริบท","ปรับ ประเทศ/บริบท เป็น ประเทศ/สถานที่ศึกษา เพื่อไม่ให้ซ้ำกับหัวข้อ บริบท","app/guide-data.ts:744:126"
"TH-535","เป็นระบบสูง","เว็บไซต์","Claude","3","5","เป็นระบบสูง ขาดคำเชื่อมทำให้ฟังไม่เป็นธรรมชาติสำหรับป้ายกำกับสั้น","เปลี่ยนเป็น ความเป็นระบบสูง หรือ เป็นระบบมาก","app/i18n.ts:266:46"
"TH-547","งานนี้จะช่วยตอบช่องว่างความรู้เรื่อง…","เว็บไซต์","agy","5","3","ใช้คำว่า ตอบช่องว่างความรู้ ซึ่งขัดกับสำนวนไทย","เปลี่ยนเป็น เติมเต็มช่องว่างความรู้ หรือ อุดช่องว่างทางความรู้","app/i18n.ts:275:10"
"TH-604","IEEE Xplore, ACM Digital Library, Scopus, arXiv มาตรฐาน และรายงานเทคนิค","เว็บไซต์","Claude","3","5","ขาดจุลภาคระหว่าง arXiv กับ มาตรฐาน ทำให้อ่านเผลอเป็นคำเดียวกัน","เติมจุลภาค เช่น IEEE Xplore, ACM Digital Library, Scopus, arXiv, มาตรฐาน และรายงานเทคนิค","app/i18n.ts:339:16"
"TH-620","JSTOR, MLA Bibliography, Project MUSE หอจดหมายเหตุ บัญชีรายการ และแหล่งปฐมภูมิ","เว็บไซต์","Claude","3","5","ขาดจุลภาคหลัง Project MUSE ทำให้ดูเหมือนขยายความคำเดียวกัน","เติมจุลภาค เช่น JSTOR, MLA Bibliography, Project MUSE, หอจดหมายเหตุ บัญชีรายการ และแหล่งปฐมภูมิ","app/i18n.ts:355:16"
"TH-630","HeinOnline, Westlaw, Lexis พอร์ทัลภาครัฐ กฎหมาย และคลังคดี","เว็บไซต์","Claude","3","5","ขาดจุลภาคหลัง Lexis ทำให้อ่านกำกวมว่าเป็นคำเดียวกับพอร์ทัลภาครัฐ","เติมจุลภาค เช่น HeinOnline, Westlaw, Lexis, พอร์ทัลภาครัฐ กฎหมาย และคลังคดี","app/i18n.ts:363:16"
"TH-641","ประเมินการศึกษา","เว็บไซต์","agy","5","3","แปลตรงตัวจาก Assess studies ทำให้สับสนกับการประเมินระบบการศึกษา","ประเมินคุณภาพงานวิจัย","app/i18n.ts:376:65"
"TH-644","ภาพรวมกว้าง","เว็บไซต์","agy","5","3","สำนวนแปลตรงตัวจาก Broad overview ดูไม่เป็นธรรมชาติ","ภาพรวมเชิงกว้าง","app/i18n.ts:380:70"
"TH-722","ทำแผนที่เครือข่าย","เว็บไซต์","Claude","3","5","""ทำแผนที่เครือข่าย"" ฟังห้วนและแปลตรงตัวจาก network mapping","ใช้ ""สร้างแผนผังเครือข่าย"" หรือ ""จัดทำแผนที่เครือข่าย""","app/i18n.ts:446:80"
"TH-729","เลือกอ้างอิงเฉพาะบางส่วนแล้วสื่อว่าเป็นการครอบคลุมทั้งหมดหรือเป็นการประมาณผลอย่างเป็นกลาง","เว็บไซต์","Claude","3","5","ประโยคยาวมีกลิ่นแปลตรงตัว กำกวมว่าใครเป็นผู้สื่อความ","ใช้ ""อ้างอิงแหล่งข้อมูลเพียงบางส่วนแล้วทำให้เข้าใจผิดว่าครอบคลุมทั้งหมดหรือเป็นกลาง""","app/i18n.ts:453:18"
"TH-811","เกณฑ์ที่สังเกตและตัดสินได้ พร้อมคำอธิบายสำหรับผู้ทบทวน","เว็บไซต์","agy","5","3","สำนวน แปลตรงตัวจาก observable and explicit","เกณฑ์ที่วัดได้และระบุไว้ชัดเจน พร้อมคำอธิบายสำหรับผู้ประเมิน","app/research-tools.ts:326:67"
"TH-812","ทดลอง 20–50 รายการและซักซ้อมเกณฑ์ให้เข้าใจตรงกัน","เว็บไซต์","agy","5","3","คำว่า ทดลอง 20–50 รายการ ฟังดูละบริบทคัดกรอง และ ซักซ้อมเกณฑ์ ฟังดูแปลกในงานวิจัย","ทดลองคัดกรอง 20–50 รายการเพื่อปรับความเข้าใจเรื่องเกณฑ์ให้ตรงกัน","app/research-tools.ts:326:136"
"TH-814","ขอและประเมินฉบับเต็ม","เว็บไซต์","agy","5","3","คำว่า ขอ แปลตรงตัวจาก retrieve หรือ request","จัดหาและประเมินบทความฉบับเต็ม","app/research-tools.ts:326:242"
"TH-832","แผนตรวจความไวของผล","เว็บไซต์","agy","5","3","คำว่า ตรวจความไวของผล ฟังดูแปลตรงตัวผิดสำนวนวิชาการ","แผนการวิเคราะห์ความไว (Sensitivity Analysis)","app/research-tools.ts:327:639"
"TH-846","รายงานวิธีให้ทีมอื่นทำตามได้","เว็บไซต์","agy","5","3","คำว่า ให้ทีมอื่นทำตามได้ ฟังดูเป็นภาษาพูดและแปลตรงตัว","รายงานระเบียบวิธีวิจัยอย่างละเอียดเพื่อให้ผู้อื่นสามารถทำซ้ำได้","app/research-tools.ts:329:140"
"TH-852","ซ่อนการเปลี่ยนโครงร่างหรือการใช้ระบบอัตโนมัติ","เว็บไซต์","agy","5","3","คำว่า ซ่อนการเปลี่ยนโครงร่าง แปลตรงตัวจาก hiding protocol changes","ปกปิดการแก้ไขโครงร่างวิจัยหรือการใช้ระบบอัตโนมัติ","app/research-tools.ts:329:474"
"TH-927","ผู้ประกอบการร้านอาหารรายย่อยสะท้อนประโยชน์ อุปสรรค และการปรับตัวจากการใช้แพลตฟอร์มส่งอาหารอย่างไร จากงานวิจัยเชิงคุณภาพที่ใช้การสัมภาษณ์เชิงลึก?","เว็บไซต์","agy","5","3","วางประโยคส่วนท้ายแปลตรงตัวและไม่เป็นธรรมชาติ","ในงานวิจัยเชิงคุณภาพที่ใช้การสัมภาษณ์เชิงลึก ผู้ประกอบการร้านอาหารรายย่อยสะท้อนประโยชน์ อุปสรรค และการปรับตัวจากการใช้แพลตฟอร์มส่งอาหารอย่างไร?","app/research-tools.ts:374:553"
"TH-975","งานแบบผสมรายงานการมีส่วนร่วม แต่ไม่ชัดว่าเป็นการสอนหรือเพียงช่วยงานธุรการ","เว็บไซต์","Claude","3","5","""งานแบบผสม"" กำกวม ไม่ชัดว่าหมายถึงงานวิจัยแบบผสมวิธี","เปลี่ยนเป็น ""งานวิจัยแบบผสมวิธี"" หรือ ""การศึกษาแบบผสมวิธี""","app/research-tools.ts:398:105"
"TH-977","เครื่องมือวางแผนผัง PRISMA","เว็บไซต์","Claude","3","5","""วางแผนผัง"" อ่านกำกวม อาจตีความเป็น ""วางแผน ผัง"" แทน ""วาง แผนผัง""","เปลี่ยนเป็น ""เครื่องมือช่วยวางผัง PRISMA"" หรือ ""เครื่องมือสร้างผัง PRISMA""","app/research-tools.ts:402:14"
"TH-978","กรอกจำนวนเพื่อตรวจความสอดคล้องและสร้างข้อความสรุปพร้อมคัดลอก เครื่องมือนี้ช่วยวางแผน แต่ไม่แทนผังและคำแนะนำ PRISMA 2020 ฉบับทางการ","เว็บไซต์","agy","5","3","วลี ไม่แทนผัง แปลตรงตัวและไวยากรณ์ไม่สมบูรณ์","แต่ไม่สามารถใช้แทนผังและคำแนะนำ PRISMA 2020 ฉบับทางการได้","app/research-tools.ts:403:14"
"TH-991","มีจำนวนที่ตัดออกมากกว่ารายการที่เหลือในขั้นนั้น กรุณาตรวจตัวเลข","เว็บไซต์","Claude","3","5","ประโยคกำกวมและสำนวนแปลตรงตัว ""ขั้นนั้น"" ไม่ชัดว่าหมายถึงขั้นตอนใด","จำนวนที่คัดออกมากกว่าจำนวนรายการที่เหลือในขั้นตอนนี้ กรุณาตรวจสอบตัวเลขอีกครั้ง","app/research-tools.ts:418:16"
"TH-999","รายงานที่ไม่สามารถเข้าถึงฉบับเต็ม","เว็บไซต์","Claude","3","5","โครงสร้างประธาน-กริยาแปลตรงตัว ทำให้เหมือนรายงานเป็นผู้เข้าถึงเอง","รายงานที่เข้าถึงฉบับเต็มไม่ได้","app/research-tools.ts:424:33"
"TH-1068","ตัวอย่างเป็นอิสระ ตัวแปรเป็นเชิงปริมาณ และข้อมูลหรือเศษเหลือไม่เบี่ยงเบนจากการแจกแจงปกติมากเกินไป","เว็บไซต์","agy","5","3","ใช้คำว่า ตัวอย่างเป็นอิสระ ใน t-test กลุ่มเดียวทำให้สับสน และอ้างถึง เศษเหลือ ไม่ตรงบริบท","หน่วยสังเกตเป็นอิสระจากกัน ตัวแปรเป็นเชิงปริมาณ และข้อมูลไม่เบี่ยงเบนจากการแจกแจงปกติมากเกินไป","app/stat-test-data.ts:161:24"
"TH-1097","ใช้จำนวนนับ การสังเกตเป็นอิสระ และตรวจความถี่คาดหวัง; แนวทางที่ใช้บ่อยคืออย่างน้อย 80% ของเซลล์มีค่าคาดหวังตั้งแต่ 5 และไม่มีเซลล์ต่ำกว่า 1","เว็บไซต์","Claude","3","5","ขึ้นต้นด้วย ""ใช้จำนวนนับ"" ไม่ครบประโยค อ่านแล้วสะดุด","เปลี่ยนเป็น ""ข้อมูลเป็นจำนวนนับ การสังเกตเป็นอิสระ และตรวจความถี่คาดหวัง...""","app/stat-test-data.ts:229:24"
"TH-1109","เลือกค่ากลางและการกระจายให้เหมาะกับข้อมูล Pearson ใช้กับความสัมพันธ์เชิงเส้นและควรตรวจแผนภาพการกระจาย (scatterplot) ส่วน Spearman เหมาะกับข้อมูลอันดับหรือความสัมพันธ์ที่เพิ่มหรือลดไปในทิศทางเดียว (monotonic)","เว็บไซต์","Claude","3","5","ไม่มีเครื่องหมายคั่นระหว่าง ""ข้อมูล"" กับ ""Pearson"" ทำให้อ่านเป็นประโยคเดียวกันและกำกวม","เติมจุดหรือแบ่งประโยค เช่น ""...ให้เหมาะกับข้อมูล ส่วน Pearson ใช้กับความสัมพันธ์เชิงเส้น...""","app/stat-test-data.ts:257:24"
"TH-035","การค้นและทบทวนวรรณกรรมอย่างเป็นระบบ","เว็บไซต์และ PowerPoint","Claude","3","5","ชื่อหัวข้อกำกวมว่า อย่างเป็นระบบ ขยายทั้งการค้นและการทบทวนหรือแค่การทบทวน อาจทำให้เข้าใจผิดว่าเป็นการทบทวนวรรณกรรมอย่างเป็นระบบเต็มรูปแบบ ซึ่งขัดกับเนื้อหาที่เน้นแยกสองคำนี้ให้ชัด","การค้นอย่างเป็นระบบเพื่อทบทวนวรรณกรรม","app/guide-data.ts:457:40; app/guide-data.ts:492:106; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-16"
"TH-081","การทบทวนเชิงสัจนิยม","เว็บไซต์และ PowerPoint","Claude","3","5","คำว่า สัจนิยม เพียงคำเดียวอาจสื่อถึงปรัชญาหรือวรรณกรรมมากกว่าชื่อวิธีทบทวนวรรณกรรม ทำให้กำกวมสำหรับผู้อ่านทั่วไป","การทบทวนเชิงสัจนิยม (realist review)","app/guide-data.ts:492:83; app/i18n.ts:308:106; app/i18n.ts:316:85; app/i18n.ts:332:106; app/i18n.ts:364:72; app/i18n.ts:410:28; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-15"
"TH-377","ช่วยให้ผู้อื่นตรวจสอบและนำคำค้นไปค้นตามในแต่ละฐานข้อมูลได้","เว็บไซต์และ PowerPoint","Claude","3","5","""นำคำค้นไปค้นตาม"" ฟังไม่เป็นธรรมชาติ","ช่วยให้ผู้อื่นตรวจสอบและค้นซ้ำด้วยคำค้นเดียวกันในแต่ละฐานข้อมูลได้","app/guide-data.ts:742:63; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-60"
"TH-385","แบบร่างโครงร่างการทบทวน 1 หน้า","เว็บไซต์และ PowerPoint","Claude","3","5","""แบบร่างโครงร่าง"" ซ้ำซ้อน ทั้งสองคำหมายถึงร่าง/โครงเดียวกัน","โครงร่างการทบทวนวรรณกรรมแบบหน้าเดียว","app/guide-data.ts:745:33; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-60"
"TH-872","ซักซ้อมเกณฑ์ให้เข้าใจตรงกันและคัดกรองสองระยะ","เว็บไซต์และ PowerPoint","agy","5","3","คำว่า ซักซ้อมเกณฑ์ ฟังดูแปลกในบริบทวิจัย","ทำความเข้าใจเกณฑ์คัดกรองร่วมกัน และดำเนินการคัดกรอง 2 ระยะ","app/research-tools.ts:347:50; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-64"
"TH-875","ทดลองแบบสกัดข้อมูลที่ตรวจย้อนกลับได้","เว็บไซต์และ PowerPoint","agy","5","3","คำว่า แบบสกัดข้อมูล ตกคำว่า ฟอร์ม หรือ แบบบันทึก","ทดลองใช้แบบฟอร์มสกัดข้อมูลที่สามารถตรวจย้อนกลับได้","app/research-tools.ts:349:48; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-64"
"TH-960","การศึกษาแบบมีกลุ่มควบคุมในปี 2023 ในนักศึกษามหาวิทยาลัย 180 คน รายงานผลสัมฤทธิ์และการมีส่วนร่วม","เว็บไซต์และ PowerPoint","Claude","3","5","สอง ""ใน"" ติดกันทำให้ประโยคสะดุด","ใช้ ""การศึกษาแบบมีกลุ่มควบคุม ปี 2023 กับนักศึกษามหาวิทยาลัย 180 คน รายงานผลสัมฤทธิ์และการมีส่วนร่วม""","app/research-tools.ts:393:86; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-34"
"TH-1146","สร้างคำถาม ฝึกคัดกรอง วาง PRISMA เลือกสถิติ และจัดการงาน","PowerPoint เท่านั้น","Claude","3","5","วาง PRISMA ใช้กริยาไม่ตรงกับสิ่งที่ทำจริง","เปลี่ยนเป็น จัดทำแผนภาพ PRISMA","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-02"
"TH-1168","14 วิธีและข้อแลกเปลี่ยน","PowerPoint เท่านั้น","agy","5","3","คำว่า ข้อแลกเปลี่ยน แปลตรงตัวจาก trade-offs","14 วิธีและข้อดีข้อเสีย","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-04"
"TH-1179","เครื่องมือ พรอมต์ และข้อกำกับ","PowerPoint เท่านั้น","Claude","3","5","ข้อกำกับ ไม่ใช่คำที่คนไทยใช้ทั่วไปสำหรับ guardrail","ใช้ แนวทางกำกับดูแล หรือ ข้อควรระวัง","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-04"
"TH-1207","เป้าหมายคือหลักยึดในการตัดสินใจ—ข้อมูลอื่นไม่ควรทำให้เจตนาหลักของงานเปลี่ยนไป","PowerPoint เท่านั้น","Claude","3","5","เจตนาหลักของงาน ฟังดูแปลตรงตัวไม่ใช่สำนวนไทยทั่วไป","เปลี่ยนเป็น จุดประสงค์หลักของงาน","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-08"
"TH-1211","เวลา ทีม และมาตรฐานการตีพิมพ์เปลี่ยนวิธีทำงาน แต่ไม่ควรถูกซ่อนไว้","PowerPoint เท่านั้น","Claude","3","5","แต่ไม่ควรถูกซ่อนไว้ กำกวมว่าอะไรไม่ควรถูกซ่อน","ระบุชัดเช่น แต่ไม่ควรปิดบังผลกระทบที่มีต่อวิธีทำงาน","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-10"
"TH-1214","คำถามเฉพาะเรื่องผลหรือการเปรียบเทียบ","PowerPoint เท่านั้น","Claude","3","5","คำถามเฉพาะเรื่องผลหรือการเปรียบเทียบ อ่านแล้วรู้สึกแปลตรงตัวไม่ลื่นไหล","ใช้ คำถามเกี่ยวกับผลลัพธ์หรือการเปรียบเทียบ","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-11"
"TH-1263","เส้นทางเลือกวิธี: ตอบ 5 คำถามก่อนเลือกชื่อวิธีทบทวน","PowerPoint เท่านั้น","Claude","3","5","""เลือกชื่อวิธีทบทวน"" ฟังเหมือนเลือกแค่ชื่อเรียก ไม่ใช่เลือกวิธีการ","เปลี่ยนเป็น ""ตอบ 5 คำถามก่อนเลือกวิธีทบทวนที่เหมาะสม""","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-17"
"TH-1267","ธรรมเนียม แหล่งข้อมูล และมาตรฐาน","PowerPoint เท่านั้น","agy","5","3","คำว่า ธรรมเนียม แปลตรงตัวจาก conventions ซึ่งฟังดูเหมือนประเพณีวัฒนธรรมมากกว่าแนวปฏิบัติในสาขาวิชา","แนวปฏิบัติ แหล่งข้อมูล และมาตรฐาน","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-17"
"TH-1307","9 กลุ่มสาขา = 9 จุดเริ่มค้นที่ต่างกัน","PowerPoint เท่านั้น","agy","5","3","คำว่า จุดเริ่มค้น ดูห้วนไม่เป็นธรรมชาติ","เปลี่ยนเป็น จุดเริ่มต้นค้นหา","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-22"
"TH-1320","ระวัง: ลงทะเบียนโครงร่างล่วงหน้าสำหรับคำถามเฉพาะ และใช้เครื่องมือประเมินความเสี่ยงอคติที่ตรงกับแบบแผนการศึกษา","PowerPoint เท่านั้น","agy","5","3","คำว่า แบบแผนการศึกษา อาจทำให้สับสนกับแผนการเรียน","เปลี่ยนเป็น รูปแบบการวิจัย หรือ รูปแบบการศึกษาวิจัย","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-23"
"TH-1330","ระวัง: ตรวจสอบรุ่นของเทคโนโลยี ความสามารถในการเปรียบเทียบเกณฑ์ทดสอบ คุณภาพของวารสารหรือแหล่งเผยแพร่ และอายุของหลักฐาน","PowerPoint เท่านั้น","Claude","3","5","วลี ความสามารถในการเปรียบเทียบเกณฑ์ทดสอบ กำกวมและมีกลิ่นแปลตรงตัว","ใช้ ความสามารถในการเทียบเคียงผลทดสอบ (benchmark) แทน","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-24"
"TH-1340","วาดแผนที่แหล่งค้นของสาขาตนเอง","PowerPoint เท่านั้น","agy","5","3","คำว่า วาดแผนที่แหล่งค้น เป็นการแปลตรงตัวและใช้คำว่า แหล่งค้น ห้วนเกินไป","เปลี่ยนเป็น จัดทำแผนที่แหล่งค้นคว้าของสาขาตนเอง","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-26"
"TH-1342","ระบุฐานข้อมูลหลัก 2 แห่ง ฐานเฉพาะสาขา 1 แห่ง และแหล่งวรรณกรรมสีเทา 1 แห่ง","PowerPoint เท่านั้น","Claude","3","5","ลักษณนาม แห่ง ไม่เหมาะกับฐานข้อมูล ฟังเหมือนพูดถึงสถานที่","เปลี่ยนเป็น ฐานข้อมูลหลัก 2 ฐาน ฐานเฉพาะสาขา 1 ฐาน และแหล่งวรรณกรรมสีเทา 1 แหล่ง","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-26"
"TH-1348","ถ้าใช้ฐานข้อมูลเดียว งานประเภทใดหรือภูมิภาคใดมีโอกาสหายไป?","PowerPoint เท่านั้น","agy","5","3","คำว่า มีโอกาสหายไป แปลตรงตัวจากภาษาอังกฤษ ไม่ตรงกับสำนวนการวิจัย","เปลี่ยนเป็น มีโอกาสตกสำรวจ หรือ มีโอกาสถูกมองข้าม","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-26"
"TH-1353","6 ระยะที่ต้องเชื่อมต่อกัน","PowerPoint เท่านั้น","agy","5","3","คำว่า เชื่อมต่อกัน ให้ความรู้สึกถึงวัตถุหรืออุปกรณ์","เปลี่ยนเป็น 6 ระยะที่ต้องเชื่อมโยงกัน หรือ 6 ระยะที่ต้องต่อเนื่องกัน","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-28"
"TH-1367","02 · ค้น","PowerPoint เท่านั้น","agy","5","3","คำว่า ค้น ดูห้วนเกินไปเมื่อเป็นชื่อขั้นตอน","เปลี่ยนเป็น 02 · ค้นหา หรือ 02 · การค้นหา","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-30"
"TH-1394","หลักสำคัญ: ความไม่แน่ใจไม่เท่ากับ ‘คัดออก’ ตัวอย่างนี้ใช้เกณฑ์งาน AI ช่วยสอนนักศึกษามหาวิทยาลัยตั้งแต่ปี 2020 และต้องรายงานผลผู้เรียน","PowerPoint เท่านั้น","Claude","3","5","ประโยค ตัวอย่างนี้ใช้เกณฑ์งาน AI ช่วยสอนนักศึกษามหาวิทยาลัยตั้งแต่ปี 2020 กำกวม อ่านเหมือนแปลตรงตัว","ปรับเป็น ตัวอย่างนี้ใช้เกณฑ์ว่าเป็นงานวิจัยเรื่อง AI ช่วยสอนนักศึกษามหาวิทยาลัย ตีพิมพ์ตั้งแต่ปี 2020 และต้องรายงานผลลัพธ์ของผู้เรียน","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-34"
"TH-1400","เครื่องมือช่วยถามเรื่องคุณภาพ ความเสี่ยงอคติ หรือความเชื่อมั่น—ไม่ใช่สิ่งเดียวกัน","PowerPoint เท่านั้น","Claude","3","5","เครื่องหมายขีดกลางทำให้ไม่ชัดว่า ""ไม่ใช่สิ่งเดียวกัน"" ขยายอะไร และ ""เครื่องมือช่วยถามเรื่อง"" ฟังดูแปลตรงตัว","เครื่องมือช่วยตั้งคำถามเรื่องคุณภาพ ความเสี่ยงอคติ หรือความเชื่อมั่น ซึ่งไม่ใช่สิ่งเดียวกัน","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-35"
"TH-1440","ค้นพบ","PowerPoint เท่านั้น","agy","5","3","คำว่าค้นพบสื่อถึงผลวิจัยแทนที่จะเป็นขั้นตอน Identification ในผัง PRISMA","การสืบค้น หรือ การระบุเอกสาร","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-41"
"TH-1443","รายการซ้ำ ระบบอัตโนมัติ และเหตุผลก่อนคัดกรอง","PowerPoint เท่านั้น","Claude","3","5","รายการไม่ขนานกัน ""ระบบอัตโนมัติ"" เป็นคำนามลอยไม่ชัดว่าคัดออกโดยระบบอัตโนมัติ","รายการซ้ำ รายการที่คัดออกโดยระบบอัตโนมัติ และรายการที่คัดออกด้วยเหตุผลอื่นก่อนคัดกรอง","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-41"
