"Index","Original Thai","Locations","Claude score","Claude verdict","Claude raw verdict","Claude issue","Claude suggestion","agy score","agy verdict","agy raw verdict","agy issue","agy suggestion","Average","Score difference","Status"
"TH-060","รักษาความหมายจากงานต้นฉบับ และบันทึกให้เห็นว่าแนวคิดใหม่พัฒนาขึ้นมาอย่างไร","app/guide-data.ts:474:18","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-061","การสังเคราะห์เชิงประเด็น","app/guide-data.ts:477:31; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-16","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-062","การสังเคราะห์เชิงคุณภาพที่ตรวจสอบได้","app/guide-data.ts:477:67","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-063","เริ่มจากเข้ารหัสข้อค้นพบเชิงคุณภาพทีละบรรทัด แล้วพัฒนาเป็นประเด็นเชิงพรรณนาและประเด็นเชิงวิเคราะห์","app/guide-data.ts:478:18; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-16","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-064","เหมาะเมื่อต้องการแสดงว่าข้อค้นพบในงานต้นฉบับพัฒนาเป็นประเด็นที่ใช้ตอบคำถามได้อย่างไร","app/guide-data.ts:479:18","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-065","ไม่เหมาะเมื่อเป้าหมายคือการตีความทฤษฎีเชิงลึก หรือข้อค้นพบมีรายละเอียดน้อยเกินกว่าจะเข้ารหัส","app/guide-data.ts:480:20","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-066","ประเด็นเชิงพรรณนา ประเด็นเชิงวิเคราะห์ และกรอบรหัสที่ตรวจสอบย้อนกลับถึงงานต้นฉบับได้","app/guide-data.ts:481:17","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-067","โดยมาก 4–10 เดือน","app/guide-data.ts:482:15","5","PASS","PASS","-","-","3","REVISE","REVISE","คำว่า โดยมาก ไม่เป็นธรรมชาติในการระบุระยะเวลา","โดยทั่วไป 4–10 เดือน","4.0","2","ควรทบทวน"
"TH-068","ดึงข้อค้นพบ","app/guide-data.ts:483:17","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-069","เข้ารหัสทีละบรรทัด","app/guide-data.ts:483:32","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-070","สร้างประเด็นเชิงพรรณนา","app/guide-data.ts:483:54","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-071","พัฒนาประเด็นเชิงวิเคราะห์","app/guide-data.ts:483:80","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-072","ตรวจกรณีที่ขัดแย้ง","app/guide-data.ts:483:109","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-073","แยกข้อค้นพบของผู้เขียนเดิมออกจากการตีความของผู้ทบทวนให้ชัด","app/guide-data.ts:484:18","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-074","ส","app/guide-data.ts:488:40; app/i18n.ts:312:29; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-22; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-23; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-25","1","CRITICAL","CRITICAL","ข้อความมีเพียงอักขระเดียว ส ไม่มีความหมายและดูเหมือนเนื้อหาขาดหายหรือพิมพ์ผิด","ตรวจสอบต้นฉบับและใส่ข้อความที่ถูกต้องแทนที่ น่าจะเป็นหัวข้อหมวดหมู่ที่หายไปในลิสต์","1","CRITICAL","CRITICAL","ข้อความขาดหายเหลือเพียงตัวอักษรเดียว","เติมข้อความให้สมบูรณ์ตามบริบท หรือตัดออก","1.0","0","เร่งตรวจ"
"TH-075","สหวิทยาการและสาขาเกิดใหม่","app/guide-data.ts:488:51; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-22; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-25","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-076","คำถามที่ต้องอาศัยกรอบการประเมินหลักฐานจากหลายสาขา เช่น จริยธรรม AI ความยั่งยืน One Health และการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","app/guide-data.ts:489:14","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-077","การเชื่อมแนวคิด ช่องว่างหลักฐาน กลไกระบบ นิยามที่ยังถกเถียง และแนวปฏิบัติใหม่","app/guide-data.ts:490:18","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-078","Scopus, Web of Science, OpenAlex, Dimensions, Lens, Google Scholar และคลังเฉพาะศาสตร์","app/guide-data.ts:491:16","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-079","การทบทวนวรรณกรรมแบบกำหนดขอบเขต","app/guide-data.ts:492:17; app/i18n.ts:308:50; app/i18n.ts:316:51; app/i18n.ts:324:84; app/i18n.ts:380:28; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-15","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-080","การทบทวนวรรณกรรมเชิงบูรณาการ","app/guide-data.ts:492:51; app/i18n.ts:332:50; app/i18n.ts:420:32; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-15","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-081","การทบทวนเชิงสัจนิยม","app/guide-data.ts:492:83; app/i18n.ts:308:106; app/i18n.ts:316:85; app/i18n.ts:332:106; app/i18n.ts:364:72; app/i18n.ts:410:28; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-15","3","REVISE","REVISE","คำว่า สัจนิยม เพียงคำเดียวอาจสื่อถึงปรัชญาหรือวรรณกรรมมากกว่าชื่อวิธีทบทวนวรรณกรรม ทำให้กำกวมสำหรับผู้อ่านทั่วไป","การทบทวนเชิงสัจนิยม (realist review)","5","PASS","PASS","-","-","4.0","2","ควรทบทวน"
"TH-082","กำหนดขอบเขตให้ชัด และค้นด้วยคำศัพท์กับฐานข้อมูลจากมากกว่าหนึ่งศาสตร์","app/guide-data.ts:493:16","3","REVISE","REVISE","ใช้คำเชื่อม กับ เชื่อมคำศัพท์และฐานข้อมูล ทำให้ประโยคอ่านสะดุดไม่เป็นธรรมชาติ","ค้นด้วยคำศัพท์และฐานข้อมูลจากมากกว่าหนึ่งศาสตร์","5","PASS","PASS","-","-","4.0","2","ควรทบทวน"
"TH-083","ค้นหลายฐานข้อมูลที่เกี่ยวข้อง ทะเบียนงาน การอ้างอิง และวรรณกรรมสีเทา พร้อมเก็บคำค้นและวันที่ครบถ้วน","app/guide-data.ts:496:29","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-084","เลือกเครื่องมือประเมินความเสี่ยงอคติตามแบบแผนการศึกษา และแยกการประเมินความเชื่อมั่นออกจากคุณภาพการรายงาน","app/guide-data.ts:496:143","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-085","PRISMA 2020 และส่วนขยายที่เกี่ยวข้อง","app/guide-data.ts:496:262","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-086","Zotero หรือ EndNote · Rayyan หรือ Covidence · ตารางหรือโปรแกรมงานทบทวน","app/guide-data.ts:496:309","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-087","ค้นอย่างกว้างและปรับการค้นระหว่างทางได้ตามแนวคิดและประเภทหลักฐาน พร้อมบันทึกการเปลี่ยนแปลง","app/guide-data.ts:497:26","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-088","การประเมินคุณภาพขึ้นกับวัตถุประสงค์ ไม่ได้บังคับเสมอ ต้องระบุและให้เหตุผล","app/guide-data.ts:497:131","3","REVISE","REVISE","สามอนุประโยคสั้นต่อกันโดยไม่มีคำเชื่อม อ่านแล้วรู้สึกขาดตอนคล้ายโน้ตย่อมากกว่าประโยคที่ลื่นไหล","การประเมินคุณภาพขึ้นอยู่กับวัตถุประสงค์ของการทบทวน ไม่จำเป็นต้องทำเสมอไป แต่ต้องระบุและให้เหตุผลหากไม่ได้ทำ","5","PASS","PASS","-","-","4.0","2","ควรทบทวน"
"TH-089","PRISMA-ScR และตรวจว่ามีฉบับปรับปรุงที่ต้องใช้หรือไม่","app/guide-data.ts:497:219","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-090","Zotero · Rayyan หรือ Covidence · ตารางจัดหมวดหลักฐาน","app/guide-data.ts:497:282","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-091","โดยทั่วไปเป็นส่วนหนึ่งของการทบทวนวรรณกรรมอย่างเป็นระบบ (systematic review) จึงใช้การค้นที่ครอบคลุมในระดับเดียวกัน","app/guide-data.ts:498:34","4","PASS","PASS","-","-","5","PASS","PASS","-","-","4.5","1","ผ่าน"
"TH-092","ประเมินความเสี่ยงต่ออคติของการศึกษา ความไม่เป็นเนื้อเดียวกันระหว่างการศึกษา การวิเคราะห์ความไว อคติในการรายงานผล และความเชื่อมั่นของหลักฐาน","app/guide-data.ts:498:162","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-093","ใช้ PRISMA 2020 ร่วมกับแนวทางที่ตรงกับการวิเคราะห์และแบบแผนการศึกษา","app/guide-data.ts:498:316","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-094","R (metafor หรือ meta) · Stata · RevMan","app/guide-data.ts:498:394","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-095","ผสมการค้นฐานข้อมูล การตามการอ้างอิง และการค้นแบบมีเป้าหมายเมื่อความเข้มข้นของแนวคิดมีความสำคัญ","app/guide-data.ts:499:30","3","REVISE","REVISE","""การตามการอ้างอิง"" ไม่ใช่คำที่คนไทยใช้ ฟังเหมือนขาดคำ","ใช้ ""การติดตามการอ้างอิง"" หรือ ""การไล่ตามรายการอ้างอิง"" (citation chasing)","3","REVISE","REVISE","สำนวนกลิ่นแปลตรงตัวและห้วน","ผสมผสานการค้นฐานข้อมูล การสืบค้นจากรายการอ้างอิง และการค้นแบบเจาะจงเมื่อความเข้มข้นทางแนวคิดมีความสำคัญ","3.0","0","เห็นพ้องว่าควรแก้"
"TH-096","ใช้แนวทางประเมินเชิงคุณภาพอย่างสม่ำเสมอ พร้อมรักษาบริบทและการสะท้อนตน","app/guide-data.ts:499:139","4","PASS","PASS","-","-","5","PASS","PASS","-","-","4.5","1","ผ่าน"
"TH-097","ตรวจคลัง EQUATOR เพื่อเลือกแนวทางล่าสุดที่ตรงกับวิธีสังเคราะห์เชิงคุณภาพ","app/guide-data.ts:499:223","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-098","NVivo · ATLAS.ti · MAXQDA · ตารางที่มีโครงสร้าง","app/guide-data.ts:499:306; app/guide-data.ts:509:339","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-099","ค้นเพิ่มเติมเป็นระยะเพื่อพัฒนาและทดสอบทฤษฎีโครงการ โดยพิจารณาทั้งความเกี่ยวข้องและความน่าเชื่อถือของหลักฐาน","app/guide-data.ts:500:26","4","PASS","PASS","-","-","5","PASS","PASS","-","-","4.5","1","ผ่าน"
"TH-100","พิจารณาว่าหลักฐานช่วยสนับสนุน ปรับแก้ หรือโต้แย้งคำอธิบายเรื่องบริบท–กลไก–ผลลัพธ์ได้หรือไม่","app/guide-data.ts:500:148","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-101","มาตรฐานการตีพิมพ์และการประเมินคุณภาพ RAMESES สำหรับการสังเคราะห์เชิงสัจนิยม (realist synthesis)","app/guide-data.ts:500:254","4","PASS","PASS","-","-","5","PASS","PASS","-","-","4.5","1","ผ่าน"
"TH-102","โปรแกรมจัดการอ้างอิง · ตารางทฤษฎี · โปรแกรมวิเคราะห์เชิงคุณภาพ","app/guide-data.ts:500:360","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
